"ROI","Mean","Channel","Frame","Time","Sensor_Name","ROI_Name"
2,6.851,1,37,108,"GFP","Airpore Old 2"
3,9.202,1,37,108,"GFP","Airpore Old 3"
4,5.625,1,37,108,"GFP","Airpore Medium 1"
5,8.319,1,37,108,"GFP","Airpore Medium 2"
6,7.974,1,37,108,"GFP","background"
1,66.18,2,37,108,"RFP","Airpore Old 1"
2,60.032,2,37,108,"RFP","Airpore Old 2"
3,46.813,2,37,108,"RFP","Airpore Old 3"
4,35.61,2,37,108,"RFP","Airpore Medium 1"
5,62.214,2,37,108,"RFP","Airpore Medium 2"
6,53.116,2,37,108,"RFP","background"
1,6.389,1,38,111,"GFP","Airpore Old 1"
2,7.2,1,38,111,"GFP","Airpore Old 2"
3,9.22,1,38,111,"GFP","Airpore Old 3"
4,5.428,1,38,111,"GFP","Airpore Medium 1"
5,8.43,1,38,111,"GFP","Airpore Medium 2"
6,7.884,1,38,111,"GFP","background"
1,65.793,2,38,111,"RFP","Airpore Old 1"
2,59.972,2,38,111,"RFP","Airpore Old 2"
3,46.639,2,38,111,"RFP","Airpore Old 3"
4,35.898,2,38,111,"RFP","Airpore Medium 1"
5,62.776,2,38,111,"RFP","Airpore Medium 2"
6,53.277,2,38,111,"RFP","background"
1,6.37,1,39,114,"GFP","Airpore Old 1"
2,7.108,1,39,114,"GFP","Airpore Old 2"
3,9.091,1,39,114,"GFP","Airpore Old 3"
4,5.281,1,39,114,"GFP","Airpore Medium 1"
5,8.359,1,39,114,"GFP","Airpore Medium 2"
6,7.869,1,39,114,"GFP","background"
1,65.737,2,39,114,"RFP","Airpore Old 1"
2,59.814,2,39,114,"RFP","Airpore Old 2"
3,47.078,2,39,114,"RFP","Airpore Old 3"
4,35.29,2,39,114,"RFP","Airpore Medium 1"
5,63.331,2,39,114,"RFP","Airpore Medium 2"
6,53.276,2,39,114,"RFP","background"
1,6.3,1,40,117,"GFP","Airpore Old 1"
2,7.121,1,40,117,"GFP","Airpore Old 2"
3,8.939,1,40,117,"GFP","Airpore Old 3"
4,5.168,1,40,117,"GFP","Airpore Medium 1"
5,8.128,1,40,117,"GFP","Airpore Medium 2"
6,7.792,1,40,117,"GFP","background"
1,65.349,2,40,117,"RFP","Airpore Old 1"
2,60.896,2,40,117,"RFP","Airpore Old 2"
3,47.163,2,40,117,"RFP","Airpore Old 3"
4,34.907,2,40,117,"RFP","Airpore Medium 1"
5,62.868,2,40,117,"RFP","Airpore Medium 2"
6,52.983,2,40,117,"RFP","background"
1,6.308,1,41,120,"GFP","Airpore Old 1"
2,7.029,1,41,120,"GFP","Airpore Old 2"
3,9.026,1,41,120,"GFP","Airpore Old 3"
4,5.334,1,41,120,"GFP","Airpore Medium 1"
5,8.146,1,41,120,"GFP","Airpore Medium 2"
6,7.911,1,41,120,"GFP","background"
1,65.368,2,41,120,"RFP","Airpore Old 1"
2,60.307,2,41,120,"RFP","Airpore Old 2"
3,47.072,2,41,120,"RFP","Airpore Old 3"
4,35.362,2,41,120,"RFP","Airpore Medium 1"
5,62.898,2,41,120,"RFP","Airpore Medium 2"
6,52.741,2,41,120,"RFP","background"
1,6.317,1,42,123,"GFP","Airpore Old 1"
2,6.685,1,42,123,"GFP","Airpore Old 2"
3,9.107,1,42,123,"GFP","Airpore Old 3"
4,5.423,1,42,123,"GFP","Airpore Medium 1"
5,8.119,1,42,123,"GFP","Airpore Medium 2"
6,7.804,1,42,123,"GFP","background"
1,66.052,2,42,123,"RFP","Airpore Old 1"
2,59.611,2,42,123,"RFP","Airpore Old 2"
3,46.711,2,42,123,"RFP","Airpore Old 3"
4,34.928,2,42,123,"RFP","Airpore Medium 1"
5,62.162,2,42,123,"RFP","Airpore Medium 2"
6,52.816,2,42,123,"RFP","background"
1,6.39,1,43,126,"GFP","Airpore Old 1"
2,6.87,1,43,126,"GFP","Airpore Old 2"
3,9.055,1,43,126,"GFP","Airpore Old 3"
4,5.282,1,43,126,"GFP","Airpore Medium 1"
5,8.122,1,43,126,"GFP","Airpore Medium 2"
6,7.859,1,43,126,"GFP","background"
1,65.447,2,43,126,"RFP","Airpore Old 1"
2,59.069,2,43,126,"RFP","Airpore Old 2"
3,46.475,2,43,126,"RFP","Airpore Old 3"
4,35.599,2,43,126,"RFP","Airpore Medium 1"
5,64.324,2,43,126,"RFP","Airpore Medium 2"
6,52.563,2,43,126,"RFP","background"
1,6.29,1,44,129,"GFP","Airpore Old 1"
2,6.975,1,44,129,"GFP","Airpore Old 2"
3,8.833,1,44,129,"GFP","Airpore Old 3"
4,5.392,1,44,129,"GFP","Airpore Medium 1"
5,8.176,1,44,129,"GFP","Airpore Medium 2"
6,7.767,1,44,129,"GFP","background"
1,65.169,2,44,129,"RFP","Airpore Old 1"
2,59.566,2,44,129,"RFP","Airpore Old 2"
3,46.692,2,44,129,"RFP","Airpore Old 3"
4,35.712,2,44,129,"RFP","Airpore Medium 1"
5,62.59,2,44,129,"RFP","Airpore Medium 2"
6,52.523,2,44,129,"RFP","background"
